EMPRESA,ANO,TIPO
BARRACA AMÉRICA DO SOL,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
BARRACA AMÉRICA DO SOL,2013,ALIMENTAÇÃO FORA DO LAR
BARRACA ATLANTIDZ,2014,ALIMENTAÇÃO FORA DO LAR
BARRACA BOM MOTIVO,2013,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2016,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2014,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2013,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2023,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2017,ALIMENTAÇÃO FORA DO LAR
BARRACA CHICO DO CARANGUEJO,2019,ALIMENTAÇÃO FORA DO LAR
BARRACA CHICO DO CARANGUEJO,2016,ALIMENTAÇÃO FORA DO LAR
BARRACA CHICO DO CARANGUEJO,2015,ALIMENTAÇÃO FORA DO LAR
BARRACA CHICO DO CARANGUEJO,2014,ALIMENTAÇÃO FORA DO LAR
BARRACA CHICO DO CARANGUEJO,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA COZINHA DA DANNY,2016,ALIMENTAÇÃO FORA DO LAR
BARRACA COZINHA DA DANNY,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA CROCOBEACH,2013,ALIMENTAÇÃO FORA DO LAR
BARRACA CROCOBEACH,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
BARRACA CUCA LEGAL,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA CUCA LEGAL,2022,ALIMENTAÇÃO FORA DO LAR
BARRACA CUCA LEGAL,2019,ALIMENTAÇÃO FORA DO LAR
BARRACA CUCA LEGAL,2017,ALIMENTAÇÃO FORA DO LAR
BARRACA CUCA LEGAL,2016,ALIMENTAÇÃO FORA DO LAR
BARRACA CUCA LEGAL,2015,ALIMENTAÇÃO FORA DO LAR
BARRACA CUCA LEGAL,2014,ALIMENTAÇÃO FORA DO LAR
BARRACA CUCA LEGAL,2013,ALIMENTAÇÃO FORA DO LAR
BARRACA DONA DIVA,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2024,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2013,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2022,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2023,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2019,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2017,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2016,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE ANTÔNIO COCO,2015,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE SJ,2013,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE SJ,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE SJ,2015,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE SJ,2014,ALIMENTAÇÃO FORA DO LAR
BARRACA E RESTAURANTE SJ,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
BARRACA MAREAR PARK,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA MAREAR PARK,2014,ALIMENTAÇÃO FORA DO LAR
BARRACA MAREAR PARK,2013,ALIMENTAÇÃO FORA DO LAR
BARRACA MAREAR PARK,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
BARRACA MARIA E ABILIO,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2023,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2022,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2019,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2018,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2017,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2016,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2015,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2014,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
BARRACA MARULHO,2024,ALIMENTAÇÃO FORA DO LAR
BARRACA NEW BEACH,2023,ALIMENTAÇÃO FORA DO LAR
BARRACA NEW BEACH,2019,ALIMENTAÇÃO FORA DO LAR
BARRACA NOSSA PRAIA,2025,ALIMENTAÇÃO FORA DO LAR
BARRACA NOSSA PRAIA,2023,ALIMENTAÇÃO FORA DO LAR
BARRACA NOSSA PRAIA,2022,ALIMENTAÇÃO FORA DO LAR
BARRACA SANTA PRAIA,2024,ALIMENTAÇÃO FORA DO LAR
BARRACA SANTA PRAIA,2023,ALIMENTAÇÃO FORA DO LAR
BARRACA TERRA DO SOL,2013,ALIMENTAÇÃO FORA DO LAR
BARRACA TIA ELZA E JANAINA,2018,ALIMENTAÇÃO FORA DO LAR
BASÍLICO RESTAURANTE,2016,ALIMENTAÇÃO FORA DO LAR
BASÍLICO RESTAURANTE,2015,ALIMENTAÇÃO FORA DO LAR
BEA ALIMENTAÇÃO SAUDAVEL,2024,ALIMENTAÇÃO FORA DO LAR
BEACH ECO STAYS,2025,HOSPEDAGEM 
BEIJA FLOR TAPIOCARIA,2023,ALIMENTAÇÃO FORA DO LAR
BEIRA MAR RESTAURANTE & BAR,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
BEIRA MAR RESTAURANTE & BAR,2014,ALIMENTAÇÃO FORA DO LAR
BEIRA MAR RESTAURANTE & BAR,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
BELFORMULA,2025,LOJAS DE VAREJO
BENÉVOLO 1 - CAFÉ GELATO,2018,ALIMENTAÇÃO FORA DO LAR
BEZERRA RESTAURANTE,2019,ALIMENTAÇÃO FORA DO LAR
BEZERRA RESTAURANTE,2017,ALIMENTAÇÃO FORA DO LAR
BEZERRA RESTAURANTE,2016,ALIMENTAÇÃO FORA DO LAR
BEZERRA RESTAURANTE,2014,ALIMENTAÇÃO FORA DO LAR
BIB'S PIZZARIA ,2024,ALIMENTAÇÃO FORA DO LAR
BIG MANIA,2019,ALIMENTAÇÃO FORA DO LAR
BIG MANIA,2017,ALIMENTAÇÃO FORA DO LAR
BIG MANIA,2016,ALIMENTAÇÃO FORA DO LAR
BIG MANIA,2014,ALIMENTAÇÃO FORA DO LAR
BIG MANIA,2018,ALIMENTAÇÃO FORA DO LAR
BIG MANIA,2015,ALIMENTAÇÃO FORA DO LAR
BIGGA’S PIZZAS E SANDUÍCHES,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
BIKE CENTER,2024,LOJAS DE VAREJO
BIKE SPORT,2024,LOJAS DE VAREJO
BIO ANALISES LABORATORIO CLINICO LTDA ,2024,SERVIÇOS LABORATORIAIS
BIOESTHETIC,2024,SERVIÇOS DE ESTÉTICA
BLU MEDITERRANEE,2024,ALIMENTAÇÃO FORA DO LAR
BLU MEDITERRANEE,2023,ALIMENTAÇÃO FORA DO LAR
BLUE DREAMS VIAGENS,2025,AGÊNCIA DE VIAGENS 
BN ASSESSORIA EMPRESARIAL AISIKI CX,2024,EMPRESA DE EVENTOS
BOBS BURGER,2025,ALIMENTAÇÃO FORA DO LAR
BOCCA FELICE,2025,ALIMENTAÇÃO FORA DO LAR
BOCCA FELICE,2023,ALIMENTAÇÃO FORA DO LAR
BOEMIA PUB MATRIZ,2024,ALIMENTAÇÃO FORA DO LAR
BOMBOM FESTAS – ESPAÇO GOURMET,2015,ALIMENTAÇÃO FORA DO LAR
BON APETTIT,2022,ALIMENTAÇÃO FORA DO LAR
BONAPARTE,2018,ALIMENTAÇÃO FORA DO LAR
BOOKAFÉ,2017,ALIMENTAÇÃO FORA DO LAR
BOTECO DO IMPRESA,2019,ALIMENTAÇÃO FORA DO LAR
BOTECO EMPÓRIO,2019,ALIMENTAÇÃO FORA DO LAR
BOTECO EMPÓRIO,2018,ALIMENTAÇÃO FORA DO LAR
BOTECO EMPÓRIO SERTÕES,2017,ALIMENTAÇÃO FORA DO LAR
BOULEVARD PHARMA,2024,SERVIÇOS DE SAÚDE
BOULEVARD POUSADA BOUTIQUE,2025,HOSPEDAGEM 
BOUTICÃO TRUCKSERVICE,2022,MANUTENÇÃO DE VEÍCULOS
BOUTIQUE RICARTE LTDA,2025,LOJAS DE VAREJO
BRAGATELLI RESTAURANTE,2019,ALIMENTAÇÃO FORA DO LAR
BRASAS LU CHURRASCARIA E PIZZARIA,2017,ALIMENTAÇÃO FORA DO LAR
BRASAS LU CHURRASCARIA E PIZZARIA,2016,ALIMENTAÇÃO FORA DO LAR
BRASAS LU CHURRASCARIA E PIZZARIA,2014,ALIMENTAÇÃO FORA DO LAR
BRASAS LU CHURRASCARIA E PIZZARIA,2018,ALIMENTAÇÃO FORA DO LAR
BRASAS LU CHURRASCARIA E PIZZARIA,2013,ALIMENTAÇÃO FORA DO LAR
BRASAS LU CHURRASCARIA E PIZZARIA,2015,ALIMENTAÇÃO FORA DO LAR
BREWSTONE PUB,2024,ALIMENTAÇÃO FORA DO LAR
BREWSTONE PUB,2023,ALIMENTAÇÃO FORA DO LAR
BRICK’S BURGER HOUSE,2017,ALIMENTAÇÃO FORA DO LAR
BRICK’S BURGER HOUSE,2016,ALIMENTAÇÃO FORA DO LAR
BRILHANTAO MATERIAL DE CONSTRUCAO LTDA,2025,LOJAS DE VAREJO
BRILHANTE EVENTOS,2023,EMPRESA DE EVENTOS
BRILHANTE EVENTOS,2022,EMPRESA DE EVENTOS
BUDEGA CARIRI,2019,ALIMENTAÇÃO FORA DO LAR
BUDEGA CARIRI,2018,ALIMENTAÇÃO FORA DO LAR
BUFFET DONA FLOR,2025,ALIMENTAÇÃO FORA DO LAR
BUFFET FAVO DE MEL,2019,EMPRESA DE EVENTOS
BUFFET FAVO DE MEL,2018,EMPRESA DE EVENTOS
BUFFET FAVO DE MEL,2017,ALIMENTAÇÃO FORA DO LAR
BUFFET FAVO DE MEL,2016,ALIMENTAÇÃO FORA DO LAR
BUFFET FAVO DE MEL,2015,ALIMENTAÇÃO FORA DO LAR
BURGER STREET 1130,2015,ALIMENTAÇÃO FORA DO LAR
BURGER STREET 1130,2014,ALIMENTAÇÃO FORA DO LAR
BUTECO PÉ DE SERRA,2016,ALIMENTAÇÃO FORA DO LAR
C SALES ARTIGOS OPTICOS LTDA,2025,LOJAS DE VAREJO
CABAÑA DEL PRIMO,2018,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2014,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2013,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2017,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO - ALDEOTA,2016,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2022,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO - JARDINS,2019,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2023,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO - JARDINS,2018,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO - RIO MAR,2017,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2016,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO - RIO MAR,2019,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO - RIO MAR,2025,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO - RIO MAR,2023,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO - RIO MAR,2022,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2015,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
CABAÑA DEL PRIMO,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
CABANA EUSÉBIO,2023,ALIMENTAÇÃO FORA DO LAR
CABANA RESTAURANTE E PIZZARIA LTDA.,2024,ALIMENTAÇÃO FORA DO LAR
CABANAS DA SERRA,2017,HOSPEDAGEM
CABANAS DA SERRA,2016,HOSPEDAGEM
CACHOEIRAS DO PINGA,2024,ALIMENTAÇÃO FORA DO LAR
CAFÉ COM ROSAS,2024,ALIMENTAÇÃO FORA DO LAR
CAFÉ COM ROSAS,2023,ALIMENTAÇÃO FORA DO LAR
CAFÉ COM ROSAS,2019,ALIMENTAÇÃO FORA DO LAR
CAFÉ COM ROSAS,2018,ALIMENTAÇÃO FORA DO LAR
CAFÉ COM ROSAS,2017,ALIMENTAÇÃO FORA DO LAR
CAFÉ COM ROSAS,2016,ALIMENTAÇÃO FORA DO LAR
CAFÉ COM ROSAS,2015,ALIMENTAÇÃO FORA DO LAR
CAFÉ COM ROSAS,2014,ALIMENTAÇÃO FORA DO LAR
CAFÉ'S SERTÃO,2019,ALIMENTAÇÃO FORA DO LAR
CAFETERIA À SINHAZINHA,2014,ALIMENTAÇÃO FORA DO LAR
CAFETERIA À SINHAZINHA,2017,ALIMENTAÇÃO FORA DO LAR
CAFETERIA À SINHAZINHA,2016,ALIMENTAÇÃO FORA DO LAR
CAFETERIA À SINHAZINHA,2015,ALIMENTAÇÃO FORA DO LAR
CAFETERIA À SINHAZINHA,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
CAFETERIA À SINHAZINHA,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
CAFETERIA À SINHAZINHA,2013,ALIMENTAÇÃO FORA DO LAR
CAFETERIA E RESTAURANTE MIRANTE,2024,ALIMENTAÇÃO FORA DO LAR
CAFETERIA SANTA CLARA,2017,ALIMENTAÇÃO FORA DO LAR
CAFETERIA SANTA CLARA - QUIOSQUE 1,2017,ALIMENTAÇÃO FORA DO LAR
CAFETERIA SANTA CLARA - QUIOSQUE 1,2016,ALIMENTAÇÃO FORA DO LAR
CAFETERIA SANTA CLARA - QUIOSQUE 2,2017,ALIMENTAÇÃO FORA DO LAR
CAFETERIA SANTA CLARA - QUIOSQUE 2,2016,ALIMENTAÇÃO FORA DO LAR
CAFETERIA SANTA CLARA - QUIOSQUE 3,2016,ALIMENTAÇÃO FORA DO LAR
CAIXA DE EVENTO,2024,EMPRESA DE EVENTOS
CAIXA DE EVENTO,2023,EMPRESA DE EVENTOS
CAIXA DE EVENTO,2022,EMPRESA DE EVENTOS
CAMARÃO E CIA,2018,ALIMENTAÇÃO FORA DO LAR
CAMARÃO E CIA,2016,ALIMENTAÇÃO FORA DO LAR
CANGACO BAR LTDA,2025,ALIMENTAÇÃO FORA DO LAR
CANTINA DO JONAS,2017,ALIMENTAÇÃO FORA DO LAR
CANTINA DO JONAS,2016,ALIMENTAÇÃO FORA DO LAR
CANTINHO DA SARDENHA,2024,ALIMENTAÇÃO FORA DO LAR
CANTINHO DA SARDENHA,2023,ALIMENTAÇÃO FORA DO LAR
CANTINHO DA SARDENHA,2022,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2022,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2019,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2018,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2017,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2016,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2015,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2014,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2024,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO,2023,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO - SUL,2019,ALIMENTAÇÃO FORA DO LAR
CANTINHO DO FRANGO BARBEARIA,2023,SERVIÇOS DE ESTÉTICA
CANTOCHÃO ECOPARK,2023,ALIMENTAÇÃO FORA DO LAR
CAR POINT,2025,MANUTENÇÃO DE VEÍCULOS
CARAÚBA BEACH ,2024,ALIMENTAÇÃO FORA DO LAR
CARMEL - EXPRESS HOTEL,2017,HOSPEDAGEM
CARMEL - EXPRESS HOTEL,2016,HOSPEDAGEM
CARMEL - EXPRESS HOTEL,2015,HOSPEDAGEM
CARMEL - EXPRESS HOTEL,2014,HOSPEDAGEM
CARMEL - MAGNA PRAIA HOTEL,2018,HOSPEDAGEM
CARMEL - MAGNA PRAIA HOTEL,2019,HOSPEDAGEM 
CARMEL - MAGNA PRAIA HOTEL,2017,HOSPEDAGEM
CARMEL - MAGNA PRAIA HOTEL,2016,HOSPEDAGEM
CARMEL - MAGNA PRAIA HOTEL,2015,HOSPEDAGEM
CARNEIRO DO DINIZ,2022,ALIMENTAÇÃO FORA DO LAR
CARNEIRO DO DINIZ,2019,ALIMENTAÇÃO FORA DO LAR
CAROL CHOCOLATES,2024,EMPRESA DE EVENTOS
CAROLINE LAVOR HARMONIZAÇÃO OROFACIAL,2025,SERVIÇOS DE SAÚDE
CAROLINE LAVOR HARMONIZAÇÃO OROFACIAL,2023,SERVIÇOS DE SAÚDE
CARONA4X4 - TURISMO DE AVENTURA,2024,AGÊNCIA DE VIAGENS 
CARONA4X4 - TURISMO DE AVENTURA,2023,AGÊNCIA DE VIAGENS 
CARRANCA ORANGE,2022,ACADEMIA
CARVALHO DANTAS ALIMENTOS LTDA,2024,ALIMENTAÇÃO FORA DO LAR
CASA BEA RESTAURANTE,2023,ALIMENTAÇÃO FORA DO LAR
CASA DA VILLA POUSADA,2015,HOSPEDAGEM
CASA DAS MASSAS,2024,ALIMENTAÇÃO FORA DO LAR
CASA DAS MASSAS,2023,ALIMENTAÇÃO FORA DO LAR
CASA DAS REDES,2024,LOJAS DE VAREJO
CASA DE ENGENHO,2025,ALIMENTAÇÃO FORA DO LAR
CASA DO BECCO,2016,ALIMENTAÇÃO FORA DO LAR
CASA DO CARNEIRO,2018,ALIMENTAÇÃO FORA DO LAR
CASA DO FEIJAO VERDE,2025,ALIMENTAÇÃO FORA DO LAR
CASA DO FRANGO - 1,2016,ALIMENTAÇÃO FORA DO LAR
CASA DO FRANGO - 2,2016,ALIMENTAÇÃO FORA DO LAR
CASA DO FRANGO SUSHIBAR,2015,ALIMENTAÇÃO FORA DO LAR
CASA DO FRANGO SUSHIBAR SUL,2015,ALIMENTAÇÃO FORA DO LAR
CASA DO FRANGO SUSHIBAR SUL,2014,ALIMENTAÇÃO FORA DO LAR
CASA MALU,2024,ALIMENTAÇÃO FORA DO LAR
CASAVEG,2024,ALIMENTAÇÃO FORA DO LAR
CASULO SERVICOS DE APOIO ADMINISTRATIVO LTDA,2025,COWORKING
